payment_method,license,purchase_date
klarna,standard,2010-07-28
klarna,standard,2009-04-19
paypal,commercial,2010-05-23
klarna,standard,2009-02-14
credit-card,commercial,2010-01-23
credit-card,standard,2010-07-14
credit-card,commercial,2010-12-24
paypal,standard,2009-02-23
eps,commercial,2010-01-26
klarna,commercial,2009-02-24
klarna,standard,2009-12-16
paypal,commercial,2010-12-05
klarna,standard,2010-01-03
credit-card,commercial,2010-02-27
eps,commercial,2009-10-14
klarna,commercial,2010-12-29
klarna,commercial,2010-09-12
paypal,commercial,2009-11-09
paypal,standard,2009-10-23
paypal,standard,2010-02-18
credit-card,commercial,2010-10-26
eps,standard,2010-11-30
klarna,commercial,2009-11-12
klarna,standard,2009-12-08
klarna,commercial,2009-11-09
credit-card,commercial,2010-12-26
paypal,commercial,2009-01-20
klarna,standard,2010-06-21
paypal,commercial,2010-11-10
credit-card,commercial,2010-01-21
eps,commercial,2009-09-25
paypal,commercial,2010-01-12
eps,standard,2009-09-05
paypal,standard,2009-08-05
eps,commercial,2010-10-31
paypal,commercial,2010-12-27
paypal,standard,2009-03-30
credit-card,commercial,2010-04-06
eps,commercial,2009-11-01
klarna,standard,2010-04-27
eps,standard,2009-12-23
paypal,commercial,2009-01-14
eps,standard,2009-03-24
paypal,standard,2010-12-08
credit-card,commercial,2010-03-23
credit-card,standard,2009-03-05
credit-card,commercial,2010-03-04
eps,standard,2010-12-28
klarna,commercial,2009-06-23
paypal,commercial,2010-01-21
paypal,standard,2010-10-28
klarna,commercial,2010-12-01
credit-card,standard,2009-03-09
klarna,standard,2009-11-26
klarna,commercial,2009-09-16
eps,commercial,2010-06-24
eps,standard,2010-03-02
credit-card,commercial,2010-12-28
credit-card,standard,2009-02-11
credit-card,commercial,2009-05-31
eps,commercial,2009-06-13
eps,standard,2009-12-12
credit-card,commercial,2009-12-19
paypal,standard,2010-03-08
credit-card,commercial,2009-09-21
credit-card,standard,2009-01-13
credit-card,standard,2009-08-25
klarna,standard,2009-08-17
credit-card,standard,2010-10-12
klarna,commercial,2009-12-23
eps,standard,2010-09-25
eps,commercial,2009-09-10
klarna,standard,2009-11-22
credit-card,standard,2010-12-13
klarna,commercial,2010-10-30
credit-card,commercial,2009-12-14
eps,commercial,2010-06-22
credit-card,standard,2010-06-01
klarna,commercial,2010-02-17
eps,commercial,2010-04-20
eps,standard,2010-04-30
klarna,standard,2010-04-16
credit-card,commercial,2009-12-19
klarna,standard,2010-08-20
paypal,commercial,2009-04-04
eps,commercial,2010-06-21
credit-card,commercial,2009-01-07
credit-card,commercial,2010-06-28
credit-card,commercial,2009-09-14
klarna,commercial,2010-06-04
eps,commercial,2009-01-20
eps,commercial,2010-05-04
eps,commercial,2009-01-25
eps,standard,2010-11-13
credit-card,commercial,2010-01-26
credit-card,commercial,2010-05-06
klarna,standard,2009-07-20
credit-card,standard,2010-12-07
credit-card,commercial,2010-06-27
paypal,standard,2009-11-29
klarna,commercial,2009-05-27
klarna,standard,2009-01-09
credit-card,standard,2009-01-27
credit-card,standard,2009-03-04
klarna,commercial,2010-08-22
credit-card,standard,2009-06-23
paypal,standard,2010-06-17
